Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-03-05 01:30:01,TSLA,"405,94","392,43","397,85","405,67 x 200","406,24 x 400","394,59 - 408,33","214,25 - 498,83",67.670.354,65.521.808,"1,523B","1,93","369,04","1,10",21 abr 2026,--,--,"421,86"
2026-03-06 01:43:54,AAPL,"260,29","262,52","260,74","259,88 x 400","260,33 x 400","257,25 - 261,55","169,21 - 288,62",49.424.671,48.111.262,"3,826B","1,12","33,24","7,83",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"292,15"
2026-03-06 01:44:03,TSLA,"405,55","405,94","401,57","405,23 x 200","405,89 x 200","399,42 - 408,62","214,25 - 498,83",51.653.564,65.723.318,"1,522B","1,93","372,06","1,09",21 abr 2026,--,--,"421,61"
2026-03-07 01:25:14,AAPL,"257,46","260,29","258,74","256,93 x 200","271,51 x 100","254,37 - 258,76","169,21 - 288,62",40.628.988,48.136.180,"3,784B","1,12","32,55","7,91",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"292,15"
2026-03-07 01:25:23,TSLA,"396,73","405,55","398,18","396,45 x 200","397,57 x 200","394,22 - 402,35","214,25 - 498,83",63.495.510,65.493.553,"1,489B","1,93","363,97","1,09",21 abr 2026,--,--,"421,61"
2026-03-08 01:42:20,AAPL,"257,46","260,29","258,74","256,93 x 200","271,51 x 100","254,37 - 258,76","169,21 - 288,62",40.628.988,48.022.439,"3,784B","1,12","32,59","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"292,15"
2026-03-08 01:42:28,TSLA,"396,73","405,55","398,18","396,45 x 200","397,57 x 200","394,22 - 402,35","214,25 - 498,83",63.495.510,65.469.460,"1,489B","1,93","370,78","1,07",21 abr 2026,--,--,"421,61"
2026-03-09 01:44:03,AAPL,"257,46","260,29","258,74","256,93 x 200","271,51 x 100","254,37 - 258,76","169,21 - 288,62",41.120.042,48.185.950,"3,784B","1,12","32,59","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"292,15"
2026-03-09 01:44:12,TSLA,"396,73","405,55","398,18","396,45 x 200","397,57 x 200","394,22 - 402,35","214,25 - 498,83",64.054.561,65.407.855,"1,489B","1,93","370,78","1,07",21 abr 2026,--,--,"421,61"
2026-03-10 01:25:47,AAPL,"259,88","257,46","255,69","259,67 x 500","260,11 x 400","253,68 - 261,15","169,21 - 288,62",37.958.303,48.457.011,"3,82B","1,12","32,90","7,90",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"295,44"
