Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-04-20 02:06:59,AAPL,"270,23","263,40","267,10","269,76 x 200","280,56 x 100","266,72 - 272,28","189,81 - 288,62",55.211.089,46.459.459,"3,972B","1,11","34,25","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,46"
2026-04-20 02:07:08,TSLA,"400,62","388,90","395,92","400,37 x 100","400,91 x 200","391,65 - 409,28","222,79 - 498,83",90.217.327,63.220.972,"1,503B","1,91","370,94","1,08",22 abr 2026,--,--,"414,59"
2026-04-21 02:02:52,AAPL,"273,05","270,23","270,33","256,78 x 100","283,98 x 100","270,29 - 274,27","193,25 - 288,62",34.667.241,46.163.596,"4,013B","1,11","34,61","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,46"
2026-04-21 02:03:01,TSLA,"392,50","400,62","402,58","392,07 x 100","393,06 x 200","388,33 - 406,80","222,79 - 498,83",64.190.600,63.220.972,"1,473B","1,91","363,43","1,08",22 abr 2026,--,--,"414,59"
2026-04-22 02:01:20,AAPL,"266,17","273,05","271,45","265,70 x 100","280,01 x 100","265,40 - 272,80","193,25 - 288,62",49.363.473,46.336.765,"3,912B","1,11","34,61","7,69",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-22 02:01:30,TSLA,"386,42","392,50","393,05","385,65 x 100","386,78 x 200","385,22 - 393,95","244,43 - 498,83",50.233.360,62.819.834,"1,45B","1,91","357,80","1,08",22 abr 2026,--,--,"415,81"
2026-04-23 02:05:10,AAPL,"273,17","266,17","267,82","272,96 x 100","273,46 x 100","266,87 - 273,74","193,25 - 288,62",42.729.584,46.362.378,"4,015B","1,11","34,62","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-23 02:05:18,TSLA,"387,51","386,42","387,56","387,45 x 100","387,90 x 100","385,30 - 393,00","249,20 - 498,83",53.758.836,62.845.242,"1,454B","1,91","355,51","1,09",22 abr 2026,--,--,"415,81"
2026-04-24 02:05:58,AAPL,"273,43","273,17","275,05","273,05 x 500","273,98 x 500","271,65 - 275,77","193,25 - 288,62",33.138.070,46.152.330,"4,014B","1,11","34,66","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-24 02:06:07,TSLA,"373,72","387,51","375,48","373,66 x 500","374,18 x 100","368,39 - 385,34","259,63 - 498,83",93.500.126,63.410.796,"1,404B","1,91","346,04","1,08",22 jul 2026,--,--,"419,00"
2026-04-25 01:55:19,AAPL,"271,06","273,43","272,76","266,00 x 100","286,63 x 100","269,65 - 273,06","193,25 - 288,62",38.033.227,46.026.709,"3,979B","1,11","34,31","7,90",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-25 01:55:28,TSLA,"376,30","373,72","373,26","376,37 x 200","376,78 x 500","370,73 - 382,76","270,78 - 498,83",62.357.183,63.404.909,"1,413B","1,91","345,23","1,09",22 jul 2026,--,--,"419,00"
2026-04-26 02:09:14,AAPL,"271,06","273,43","272,76","266,00 x 100","286,63 x 100","269,67 - 273,06","193,25 - 288,62",38.033.227,45.866.346,"3,979B","1,11","34,35","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-26 02:09:23,TSLA,"376,30","373,72","373,26","376,37 x 200","376,78 x 500","370,73 - 382,76","270,78 - 498,83",62.357.183,63.630.837,"1,413B","1,91","345,23","1,09",22 jul 2026,--,--,"418,38"
2026-04-27 02:11:31,AAPL,"271,06","273,43","272,76","266,00 x 100","286,63 x 100","269,65 - 273,06","193,25 - 288,62",38.157.110,45.804.347,"3,979B","1,11","34,35","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,71"
2026-04-27 02:11:40,TSLA,"376,30","373,72","373,26","376,37 x 200","376,78 x 500","370,73 - 382,76","270,78 - 498,83",62.893.307,64.055.390,"1,413B","1,91","345,23","1,09",22 jul 2026,--,--,"418,38"
