Fecha_Captura,Ticker,Precio_Actual,Capitalización de mercado,Valoración totalmente diluida,Volumen (24 h),Cierre anterior,Abrir,Rango diario,Intervalo de 52 semanas,Fecha de inicio,Vol./capitalización bursátil (24 h),Suministro en circulación,Suministro total,Suministro máx.,Máximos históricos,Mínimos históricos
2026-03-09 01:43:46,BTC-USD,"66.576,84","1,332B","1,40B","35,63MM","65.975,70","65.975,70","65.975,70 - 66.582,48","60.074,20 - 126.198,07",2010-07-13,"2,68%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-09 01:43:55,ETH-USD,"1.958,58","236,386MM","236,39MM","17,54MM","1.937,10","1.937,10","1.934,86 - 1.958,58","1.386,80 - 4.953,73",2015-08-07,"7,42%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-10 01:25:28,BTC-USD,"68.931,00","1,379B","1,45B","47,70MM","68.443,15","68.443,15","68.443,15 - 69.260,48","60.074,20 - 126.198,07",2010-07-13,"3,46%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-10 01:25:37,ETH-USD,"2.011,59","242,783MM","242,78MM","23,86MM","1.994,33","1.994,33","1.994,33 - 2.019,82","1.386,80 - 4.953,73",2015-08-07,"9,83%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-11 01:25:42,BTC-USD,"70.063,04","1,401B","1,47B","53,47MM","69.956,93","69.956,93","69.780,27 - 70.108,88","60.074,20 - 126.198,07",2010-07-13,"3,82%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-11 01:25:51,ETH-USD,"2.035,28","245,642MM","245,64MM","22,81MM","2.037,13","2.037,13","2.030,18 - 2.039,77","1.386,80 - 4.953,73",2015-08-07,"9,29%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-12 01:25:29,BTC-USD,"69.936,89","1,399B","1,47B","44,68MM","70.202,77","70.202,77","69.919,04 - 70.357,20","60.074,20 - 126.198,07",2010-07-13,"3,19%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-12 01:25:39,ETH-USD,"2.049,01","247,299MM","247,30MM","18,85MM","2.052,38","2.052,38","2.047,18 - 2.057,71","1.386,80 - 4.953,73",2015-08-07,"7,62%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-13 01:29:09,BTC-USD,"71.519,23","1,43B","1,50B","44,54MM","70.509,98","70.509,98","70.491,65 - 71.948,01","60.074,20 - 126.198,07",2010-07-13,"3,11%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-13 01:29:19,ETH-USD,"2.119,24","255,775MM","255,77MM","23,59MM","2.073,83","2.073,83","2.073,83 - 2.143,55","1.386,80 - 4.953,73",2015-08-07,"9,22%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-14 01:27:34,BTC-USD,"70.797,38","1,416B","1,49B","57,19MM","70.952,34","70.952,34","70.573,38 - 70.952,34","60.074,20 - 126.198,07",2010-07-13,"4,04%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-14 01:27:44,ETH-USD,"2092,37","252,478MM","252,48MM","26,35MM","2.092,44","2.092,44","2.083,62 - 2.093,50","1.386,80 - 4.953,73",2015-08-07,"10,44%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-15 01:53:12,BTC-USD,"70.953,04","1,419B","1,49B","21,60MM","71.214,43","71.214,43","70.899,43 - 71.214,43","60.074,20 - 126.198,07",2010-07-13,"1,52%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-15 01:53:21,ETH-USD,"2.087,50","251,944MM","251,94MM","9,82MM","2.096,66","2.096,66","2.084,97 - 2.096,66","1.386,80 - 4.953,73",2015-08-07,"3,90%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-16 01:54:22,BTC-USD,"72.715,58","1,454B","1,53B","29,50MM","72.820,78","72.820,78","72.323,09 - 72.930,48","60.074,20 - 126.198,07",2010-07-13,"2,03%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-16 01:54:30,ETH-USD,"2182,31","263,388MM","263,39MM","16,28MM","2.178,45","2.178,45","2.166,27 - 2.182,64","1.386,80 - 4.953,73",2015-08-07,"6,18%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-17 01:43:25,BTC-USD,"75.628,68","1,513B","1,59B","58,27MM","74.871,30","74.871,30","74.715,36 - 75.921,28","60.074,20 - 126.198,07",2010-07-13,"3,85%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-17 01:43:34,ETH-USD,"2.364,02","285,317MM","285,32MM","41,02MM","2.351,62","2.351,62","2.342,79 - 2.367,93","1.386,80 - 4.953,73",2015-08-07,"14,38%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-18 01:47:37,BTC-USD,"74.201,26","1,484B","1,56B","45,01MM","73.933,52","73.933,52","73.616,63 - 74.201,26","60.074,20 - 126.198,07",2010-07-13,"3,03%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-18 01:47:46,ETH-USD,"2.332,06","281,46MM","281,46MM","23,77MM","2.318,09","2.318,09","2.309,59 - 2.332,39","1.386,80 - 4.953,73",2015-08-07,"8,45%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-19 01:48:04,BTC-USD,"71.155,24","1,423B","1,49B","46,03MM","71.251,66","71.251,66","70.973,95 - 71.298,96","60.074,20 - 126.198,07",2010-07-13,"3,23%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-19 01:48:12,ETH-USD,"2.199,64","265,478MM","265,48MM","25,57MM","2.203,65","2.203,65","2.188,57 - 2.206,15","1.386,80 - 4.953,73",2015-08-07,"9,63%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-20 01:42:39,BTC-USD,"70.562,71","1,411B","1,48B","44,77MM","69.921,89","69.921,89","69.851,76 - 70.562,71","60.074,20 - 126.198,07",2010-07-13,"3,17%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-20 01:42:48,ETH-USD,"2.158,85","260,555MM","260,56MM","24,12MM","2.137,67","2.137,67","2.136,05 - 2.158,85","1.386,80 - 4.953,73",2015-08-07,"9,26%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-21 01:25:33,BTC-USD,"70.637,74","1,413B","1,48B","37,03MM","70.517,62","70.517,62","70.517,62 - 70.708,20","60.074,20 - 126.198,07",2010-07-13,"2,62%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-21 01:25:42,ETH-USD,"2.154,49","260,029MM","260,03MM","17,72MM","2.146,52","2.146,52","2.146,34 - 2.155,82","1.386,80 - 4.953,73",2015-08-07,"6,82%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-22 01:47:09,BTC-USD,"68.842,49","1,377B","1,45B","25,02MM","68.903,22","68.903,22","68.452,43 - 69.076,77","60.074,20 - 126.198,07",2010-07-13,"1,82%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-22 01:47:17,ETH-USD,"2.084,46","251,577MM","251,58MM","11,09MM","2.084,69","2.084,69","2.059,67 - 2.091,49","1.386,80 - 4.953,73",2015-08-07,"4,41%","120,69M","120,69M",--,"4.953,73","82,83"
2026-03-23 01:48:39,BTC-USD,"68.010,73","1,36B","1,43B","27,82MM","67.854,98","67.854,98","67.644,96 - 68.099,80","60.074,20 - 126.198,07",2010-07-13,"2,04%","20,00M","20,00M","21,00M","126.198,07","171,51"
2026-03-23 01:48:47,ETH-USD,"2.055,20","248,046MM","248,05MM","14,46MM","2.053,43","2.053,43","2.041,54 - 2.061,35","1.386,80 - 4.953,73",2015-08-07,"5,83%","120,69M","120,69M",--,"4.953,73","82,83"
